state,gas_tax
Alabama,18
Alaska,8.95
Arizona,19
Arkansas,21.8
California,46.7
Colorado,22
Connecticut,25
Delaware,23
Florida,31.425
Georgia,26.8
Hawaii,16
Idaho,33
Illinois,20.1
Indiana,28
Iowa,30.5
Kansas,25.03
Kentucky,26
Louisiana,20.125
Maine,30
Maryland,33.8
Massachusetts,24
Michigan,26.3
Minnesota,28.6
Mississippi,18.4
Missouri ,17.3
Montana,31.5
Nebraska,29.3
Nevada,23.805
New Hampshire,23.825
New Jersey,37.1
New Mexico,18.875
New York,24.2
North Carolina,35.35
North Dakota,23
Ohio,28
Oklahoma,17
Oregon ,34
Pennsylvania,57.6
Rhode Island,34
South Carolina,16.75
South Dakota,30
Tennessee,25.4
Texas,20
Utah,29.4
Vermont,30.72
Virginia,16.2
Washington,49.4
West Virginia,35.7
Wisconsin,32.9
Wyoming,24
District of Columbia,23.5
